atom,辶,几,亅,人,乂,囗,卜,十
color,#000000,#0F766E,#2DD4BF,#991B1B,#F87171,#FFFFFF,#FDE047,#B45309
name,Black,Dark Blue,Light Blue,Dark Red,Light Red,White,Light Yellow,Dark Yellow
廴,x,,,,,,,
辶,x,,,,,,,
衤,x,,,,,,,
礻,x,,,,,,,
忄,x,,,,,,,
牜,x,,,,,,,
冖,x,,,,,,,
⺳,x,,,,,,,
䒑,x,,,,,,,
丶,x,,,,,,,
丷,x,,,,,,,
⺌,x,,,,,,,
爫,x,,,,,,,
亠,x,,,,,,,
乛,x,,,,,,,
⺈,x,,,,,,,
宀,x,,,,,,,
艹,x,,,,,,,
言,x,,,,,,,
豆,x,,,,,,,
龷,x,,,,,,,
龶,x,,,,,,,
龹,x,,,,,,,
立,x,,,,,,,
⺁,,x,,,,,,
丿,,x,,,,,,
厂,,x,,,,,,
厃,,x,,,,,,
广,,x,,,,,,
尸,,x,,,,,,
斤,,x,,,,,,
𡰪,,x,,,,,,
几,,x,,,,,,
免,,x,,,,,,
尤,,x,,,,,,
戊,,x,,,,,,
九,,x,,,,,,
兆,,x,,,,,,
旡,,x,,,,,,
兄,,x,,,,,,
儿,,x,,,,,,
鬼,,x,,,,,,
風,,x,,,,,,
七,,x,,,,,,
匕,,x,,,,,,
心,,x,,,,,,
己,,x,,,,,,
巳,,x,,,,,,
巴,,x,,,,,,
㔾,,,x,,,,,
乜,,,x,,,,,
乚,,,x,,,,,
乙,,,x,,,,,
毛,,,x,,,,,
㘸,,,x,,,,,
虍,,,x,,,,,
弋,,,x,,,,,
气,,,x,,,,,
瓦,,,x,,,,,
丂,,,x,,,,,
丐,,,x,,,,,
弓,,,x,,,,,
亐,,,x,,,,,
鳥,,,x,,,,,
馬,,,x,,,,,
子,,,x,,,,,
了,,,x,,,,,
乃,,,x,,,,,
力,,,x,,,,,
勹,,,x,,,,,
刀,,,x,,,,,
寸,,,x,,,,,
才,,,x,,,,,
𠃌,,,x,,,,,
方,,,x,,,,,
𡯄,,,x,,,,,
赤,,,x,,,,,
习,,,x,,,,,
卩,,,x,,,,,
卪,,,x,,,,,
阝,,,x,,,,,
冫,,,x,,,,,
朩,,,x,,,,,
氵,,,x,,,,,
小,,,x,,,,,
刂,,,x,,,,,
亅,,,x,,,,,
氺,,,x,,,,,
求,,,x,,,,,
尓,,,x,,,,,
尿,,,x,,,,,
水,,,x,,,,,
矛,,,x,,,,,
牙,,,x,,,,,
扌,,,x,,,,,
手,,,x,,,,,
𥏫,,,,x,,,,
矢,,,,x,,,,
大,,,,x,,,,
㳄,,,,x,,,,
入,,,,x,,,,
欠,,,,x,,,,
久,,,,x,,,,
人,,,,x,,,,
火,,,,x,,,,
灬,,,,x,,,,
亽,,,,x,,,,
从,,,,x,,,,
仌,,,,x,,,,
负,,,,x,,,,
𧘇,,,,x,,,,
木,,,,x,,,,
柬,,,,x,,,,
穴,,,,x,,,,
八,,,,x,,,,
癶,,,,x,,,,
𡗗,,,,x,,,,
丯,,,,x,,,,
彡,,,,x,,,,
彳,,,,x,,,,
亻,,,,x,,,,
犭,,,,x,,,,
勿,,,,x,,,,
豸,,,,x,,,,
𧰨,,,,x,,,,
豕,,,,x,,,,
象,,,,x,,,,
爪,,,,x,,,,
川,,,,x,,,,
巛,,,,x,,,,
幺,,,,x,,,,
厶,,,,x,,,,
玄,,,,x,,,,
乡,,,,x,,,,
龴,,,,x,,,,
𢇇,,,,x,,,,
禸,,,,x,,,,
石,,,,x,,,,
右,,,,x,,,,
㇇,,,,x,,,,
㇏,,,,x,,,,
𠂎,,,,x,,,,
𣥂,,,,x,,,,
少,,,,x,,,,
乀,,,,x,,,,
夕,,,,x,,,,
𠂊,,,,x,,,,
乂,,,,,x,,,
㸚,,,,,x,,,
父,,,,,x,,,
殳,,,,,x,,,
女,,,,,x,,,
𠪚,,,,,x,,,
𣦼,,,,,x,,,
攵,,,,,x,,,
夂,,,,,x,,,
又,,,,,x,,,
丈,,,,,x,,,
夊,,,,,x,,,
皮,,,,,x,,,
囗,,,,,,x,,
口,,,,,,x,,
廿,,,,,,x,,
艮,,,,,,x,,
袁,,,,,,x,,
其,,,,,,x,,
甘,,,,,,x,,
身,,,,,,x,,
龍,,,,,,x,,
夓,,,,,,x,,
貝,,,,,,x,,
日,,,,,,x,,
且,,,,,,x,,
目,,,,,,x,,
白,,,,,,x,,
月,,,,,,x,,
㠯,,,,,,x,,
耳,,,,,,x,,
頁,,,,,,x,,
萈,,,,,,x,,
苜,,,,,,x,,
育,,,,,,x,,
焄,,,,,,x,,
無,,,,,,x,,
毋,,,,,,x,,
毌,,,,,,x,,
母,,,,,,x,,
垂,,,,,,x,,
堇,,,,,,x,,
革,,,,,,x,,
𠕁,,,,,,x,,
覀,,,,,,x,,
皿,,,,,,x,,
罒,,,,,,x,,
鹿,,,,,,x,,
𢛳,,,,,,x,,
𠱠,,,,,,x,,
虫,,,,,,x,,
車,,,,,,x,,
𤰔,,,,,,x,,
黃,,,,,,x,,
黄,,,,,,x,,
田,,,,,,x,,
由,,,,,,x,,
甲,,,,,,x,,
甫,,,,,,x,,
卑,,,,,,x,,
曲,,,,,,x,,
曳,,,,,,x,,
更,,,,,,x,,
匚,,,,,,x,,
彐,,,,,,x,,
曰,,,,,,x,,
巨,,,,,,x,,
⺽,,,,,,x,,
凵,,,,,,x,,
臼,,,,,,x,,
𠃊,,,,,,x,,
肀,,,,,,x,,
韋,,,,,,x,,
長,,,,,,x,,
辰,,,,,,x,,
兼,,,,,,x,,
镸,,,,,,x,,
鼠,,,,,,x,,
世,,,,,,x,,
叚,,,,,,x,,
與,,,,,,x,,
㡀,,,,,,x,,
冂,,,,,,x,,
雨,,,,,,x,,
冎,,,,,,x,,
网,,,,,,x,,
舟,,,,,,x,,
鬲,,,,,,x,,
門,,,,,,x,,
而,,,,,,x,,
卜,,,,,,,x,
上,,,,,,,x,
止,,,,,,,x,
爿,,,,,,,x,
片,,,,,,,x,
乑,,,,,,,x,
疋,,,,,,,x,
𤴓,,,,,,,x,
龰,,,,,,,x,
乍,,,,,,,x,
𦈢,,,,,,,x,
比,,,,,,,x,
氏,,,,,,,x,
五,,,,,,,x,
丑,,,,,,,x,
彑,,,,,,,x,
丘,,,,,,,x,
廾,,,,,,,x,
井,,,,,,,x,
𥃲,,,,,,,x,
齊,,,,,,,x,
斗,,,,,,,x,
不,,,,,,,,x
丄,,,,,,,,x
𢆉,,,,,,,,x
半,,,,,,,,x
丰,,,,,,,,x
王,,,,,,,,x
牛,,,,,,,,x
羊,,,,,,,,x
隹,,,,,,,,x
干,,,,,,,,x
工,,,,,,,,x
金,,,,,,,,x
黑,,,,,,,,x
𠙽,,,,,,,,x
古,,,,,,,,x
十,,,,,,,,x
土,,,,,,,,x
士,,,,,,,,x
𡉀,,,,,,,,x
卄,,,,,,,,x
卌,,,,,,,,x
卝,,,,,,,,x
亚,,,,,,,,x
非,,,,,,,,x
业,,,,,,,,x
丨,,,,,,,,x
亞,,,,,,,,x
臣,,,,,,,,x
山,,,,,,,,x
屮,,,,,,,,x
屯,,,,,,,,x
缶,,,,,,,,x
一,,,,,,,,
二,,,,,,,,
