atom,辶,厂,亅,卜,乚,又,人,十,口
color,#a855f7,#7dd3fc,#fb923c,#000000,#86efac,#1e40af,#ef4444,#166534,#fde047
name,Movement,Enclosure,Hook,Divination,Curved,Repetition,Person,Cross,Mouth
 ,,,,,,,,,
&,,,,,,,,,
*,,,,,,,,,
2,,,,,,,,,
7,,,,,,,,,
;,,,,,,,,,
?,,,,,,,,,
l,,,,,,,,,
t,,,,,,,,,
⺁,,x,,,,,,,
⺈,x,,,,,,,,
⺌,,x,,,,,,,
⺳,,x,,,,,,,
⺽,,,,,,,,,x
㇇,,x,,,,,,,
㇏,,,,,,x,,,
㔾,,,,,x,,,,
㘸,x,,,,,,,,
㠯,,,,,,,,,x
㡀,x,,,,,,,,
㳄,x,,,,,,,,
㸚,,,,,,x,,,
䒑,,x,,,,,,,
一,,,,,,,,,
丂,,,x,,,,,,
七,,,,,x,,,,
丄,,,,x,,,,,
丈,,,,,,x,,,
上,,,,x,,,,,
不,,,,x,,,,,
丐,x,,,,,,,,
丑,,,,x,,,,,
且,,,,,,,,,x
世,x,,,,,,,,
丘,,,,x,,,,,
业,,,,,,,,x,
丨,,,,,,,,,
丯,,,,,,,,x,
丰,,,,,,,,x,
丶,,x,,,,,,,
丷,,,,,,,x,,
丿,,x,,,,,,,
乀,x,,,,,,,,
乂,,,,,,x,,,
乃,,,x,,,,,,
久,x,,,,,,,,
乍,,,,x,,,,,
乑,,,,x,,,,,
乙,,,,,x,,,,
乚,,,,,x,,,,
乛,,x,,,,,,,
乜,,,,,x,,,,
九,,,,,x,,,,
习,,,,,,,,,x
乡,x,,,,,,,,
亅,,,x,,,,,,
了,,,x,,,,,,
二,,,,,,,,,
亐,x,,,,,,,,
五,,,,x,,,,,
井,,x,,,,,,,
亚,,,,,,,,x,
亞,x,,,,,,,,
亠,,x,,,,,,,
人,,,,,,,x,,
亻,,,,,,,x,,
亽,x,,,,,,,,
仌,x,,,,,,,,
从,,,,,,,x,,
儿,,,,,x,,,,
兄,x,,,,,,,,
兆,,,,,x,,,,
免,,,,,x,,,,
入,,,,,,,x,,
八,,,,,,,x,,
其,,,,,,,,,x
兼,,,,,,,,,x
冂,,,,,,,,,x
冎,,,,,,,,,x
冖,,x,,,,,,,
冫,,,x,,,,,,
几,,,,,x,,,,
凵,,,,,,,,,x
刀,,,x,,,,,,
刂,,,x,,,,,,
力,,,x,,,,,,
勹,,,x,,,,,,
勿,,,x,,,,,,
匕,,,,,x,,,,
匚,,,,,,,,,x
十,,,,,,,,x,
卄,x,,,,,,,,
半,,,,,,,,x,
卌,x,,,,,,,,
卑,,,,,,,,,x
卜,,,,x,,,,,
卝,x,,,,,,,,
卩,,,x,,,,,,
卪,,,x,,,,,,
厂,,x,,,,,,,
厃,x,,,,,,,,
厶,,,,x,,,,,
又,,,,,,x,,,
叚,,,,,,x,,,
口,,,,,,,,,x
古,,,,,,,,x,
右,x,,,,,,,,
囗,,,,,,,,,x
土,,,,,,,,x,
垂,,,,,,,,x,
堇,,,,,,,,x,
士,,,,,,,,x,
夂,,,,,,x,,,
夊,x,,,,,,,,
夓,,,,,,x,,,
夕,,,,,,x,,,
大,,,,,,,x,,
女,,,,,,x,,,
子,,,x,,,,,,
宀,,x,,,,,,,
寸,,,x,,,,,,
小,,,x,,,,,,
少,x,,,,,,,,
尓,x,,,,,,,,
尤,,,,,x,,,,
尸,,x,,,,,,,
尿,x,,,,,,,,
屮,,,,,,,,x,
屯,,,,,,,,x,
山,,,,,,,,x,
巛,x,,,,,,,,
