character,辶,几,亅,人,乂,囗,卜,十
color,#000000,#0F766E,#2DD4BF,#991B1B,#F87171,#FFFFFF,#FDE047,#B45309
name,Black,Dark Blue,Light Blue,Dark Red,Light Red,White,Light Yellow,Dark Yellow
丶,x,,,,,,,
丷,x,,,,,,,
乛,x,,,,,,,
亠,x,,,,,,,
冖,x,,,,,,,
宀,x,,,,,,,
忄,x,,,,,,,
爫,x,,,,,,,
礻,x,,,,,,,
立,x,,,,,,,
艹,x,,,,,,,
辶,x,,,,,,,
⺁,,x,,,,,,
七,,x,,,,,,
乚,,x,,,,,,
乜,,x,,,,,,
九,,x,,,,,,
儿,,x,,,,,,
免,,x,,,,,,
几,,x,,,,,,
匕,,x,,,,,,
尤,,x,,,,,,
己,,x,,,,,,
巳,,x,,,,,,
广,,x,,,,,,
心,,x,,,,,,
斤,,x,,,,,,
气,,x,,,,,,
丂,,,x,,,,,
乃,,,x,,,,,
习,,,x,,,,,
了,,,x,,,,,
冫,,,x,,,,,
刂,,,x,,,,,
力,,,x,,,,,
勹,,,x,,,,,
卩,,,x,,,,,
子,,,x,,,,,
寸,,,x,,,,,
小,,,x,,,,,
手,,,x,,,,,
扌,,,x,,,,,
才,,,x,,,,,
方,,,x,,,,,
水,,,x,,,,,
氵,,,x,,,,,
求,,,x,,,,,
牙,,,x,,,,,
阝,,,x,,,,,
㇇,,,,x,,,,
人,,,,x,,,,
亻,,,,x,,,,
仌,,,,x,,,,
八,,,,x,,,,
厶,,,,x,,,,
夕,,,,x,,,,
大,,,,x,,,,
彡,,,,x,,,,
彳,,,,x,,,,
木,,,,x,,,,
欠,,,,x,,,,
火,,,,x,,,,
灬,,,,x,,,,
矢,,,,x,,,,
穴,,,,x,,,,
豕,,,,x,,,,
𧘇,,,,x,,,,
乂,,,,,x,,,
又,,,,,x,,,
夂,,,,,x,,,
女,,,,,x,,,
攵,,,,,x,,,
殳,,,,,x,,,
父,,,,,x,,,
且,,,,,,x,,
其,,,,,,x,,
冂,,,,,,x,,
凵,,,,,,x,,
匚,,,,,,x,,
叚,,,,,,x,,
口,,,,,,x,,
囗,,,,,,x,,
垂,,,,,,x,,
日,,,,,,x,,
曰,,,,,,x,,
月,,,,,,x,,
田,,,,,,x,,
白,,,,,,x,,
目,,,,,,x,,
网,,,,,,x,,
艮,,,,,,x,,
虫,,,,,,x,,
覀,,,,,,x,,
身,,,,,,x,,
雨,,,,,,x,,
上,,,,,,,x,
乍,,,,,,,x,
五,,,,,,,x,
井,,,,,,,x,
卜,,,,,,,x,
廾,,,,,,,x,
止,,,,,,,x,
比,,,,,,,x,
爿,,,,,,,x,
疋,,,,,,,x,
龰,,,,,,,x,
𤴓,,,,,,,x,
不,,,,,,,,x
丨,,,,,,,,x
十,,,,,,,,x
半,,,,,,,,x
土,,,,,,,,x
屮,,,,,,,,x
山,,,,,,,,x
工,,,,,,,,x
干,,,,,,,,x
牛,,,,,,,,x
王,,,,,,,,x
羊,,,,,,,,x
隹,,,,,,,,x
非,,,,,,,,x
*,,,,,,,,
?,,,,,,,,
㐫,,,,,x,,,
㝵,,,x,,,,,
䏍,,,,,,x,,
一,,,,,,,,
丁,,,x,,,,,
丆,,x,,,,,,
与,,,x,,,,,
丙,,,,x,,,,
东,,,x,,,,,
主,,,,,,,,x
丿,,,,,,,,
乞,,x,,,,,,
也,,x,,,,,,
书,,,x,,,,,
争,,,,,,x,,
事,,,,,,x,,
二,,,,,,,,
云,,,,x,,,,
亡,,,,,,x,,
交,,,,x,,,,
亥,,,,x,,,,
京,,,x,,,,,
亲,,,x,,,,,
亼,,,,x,,,,
令,,,,x,,,,
你,,,x,,,,,
侯,,,,x,,,,
兀,,x,,,,,,
元,,x,,,,,,
先,,x,,,,,,
兌,,x,,,,,,
六,,,,x,,,,
关,,,,x,,,,
兴,,,,x,,,,
具,,,,,,x,,
冄,,,,,,x,,
冉,,,,,,x,,
冋,,,,,,x,,
冏,,,,,,x,,
冬,,,,,x,,,
刖,,,,,,x,,
勺,,,x,,,,,
千,,,,,,,,x
卖,,,,x,,,,
占,,,,,,,x,
友,,,,,x,,,
反,,,,,x,,,
取,,,,,x,,,
另,,,x,,,,,
只,,,,x,,,,
召,,,x,,,,,
各,,,,,x,,,
合,,,,x,,,,
吊,,,,,,x,,
吾,,,,,,x,,
哥,,,x,,,,,
壴,x,,,,,,,
天,,,,x,,,,
夬,,,,x,,,,
夭,,,,x,,,,
头,,,,x,,,,
娄,,,x,,,,,
孝,,,x,,,,,
完,,x,,,,,,
官,,,,,,x,,
对,,,x,,,,,
射,,,x,,,,,
尔,,,x,,,,,
尼,,x,,,,,,
巾,,,,,,x,,
帀,,,,,,x,,
年,,,,,,,,x
式,,x,,,,,,
戈,,x,,,,,,
戋,,x,,,,,,
我,,x,,,,,,
戸,,x,,,,,,
执,,x,,,,,,
故,,,,,x,,,
文,,,,,x,,,
昌,,,,,,x,,
昔,,,,,,x,,
景,,,,,,x,,
曷,,,,,,x,,
曼,,,,,,x,,
本,,,,x,,,,
杲,,,,x,,,,
果,,,,x,,,,
此,,,,,,,x,
玉,,,,,,,,x
生,,,,,,,,x
疒,x,,,,,,,
相,,,,x,,,,
示,,,x,,,,,
禾,,,,x,,,,
竹,,,x,,,,,
米,,,,x,,,,
糸,,,x,,,,,
纟,,,,x,,,,
耂,,,,,,,,x
者,,,,,,x,,
自,,,,,,x,,
至,,,,x,,,,
舌,,,,,,,,x
见,,x,,,,,,
讠,x,,,,,,,
贝,,,,x,,,,
走,,,,,,,x,
足,,,,,,,x,
车,,,,,,,x,
那,,,,,,x,,
邦,,,x,,,,,
采,,,,x,,,,
里,,,,,,x,,
钅,x,,,,,,,
门,,,,,,x,,
青,,,,,,x,,
面,,,,,,x,,
飞,,x,,,,,,
饣,x,,,,,,,
首,,,,,,x,,
马,,,x,,,,,
鸟,,,x,,,,,
𠀐,,,,,,x,,
𠂇,,x,,,,,,
𠂉,,x,,,,,,
𠃓,,,x,,,,,
𠫔,,,,x,,,,
𠬝,,,,,x,,,
𠮛,,,,,,x,,
